Metric,Value
design_powergrid__drop__worst__net:VPWR__corner:nom_typ_1p20V_25C,0.0000104233
design_powergrid__voltage__worst__net:VGND__corner:nom_typ_1p20V_25C,0.0000105526
design_powergrid__drop__average__net:VGND__corner:nom_typ_1p20V_25C,0.0000022473
design_powergrid__drop__worst__net:VGND__corner:nom_typ_1p20V_25C,0.0000105526
design_powergrid__voltage__worst,0.0000105526
design_powergrid__voltage__worst__net:VPWR,1.19999
design_powergrid__drop__worst,0.0000105526
design_powergrid__drop__worst__net:VPWR,0.0000104233
design_powergrid__voltage__worst__net:VGND,0.0000105526
design_powergrid__drop__worst__net:VGND,0.0000105526
ir__voltage__worst,1.1999999999999999555910790149937383830547332763671875
ir__drop__avg,0.00000235999999999999985085389654637655354463277035392820835113525390625
ir__drop__worst,0.000010400000000000000376413310243517429398707463406026363372802734375
magic__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
