Metric,Value
design_powergrid__voltage__worst__net:VGND__corner:nom_typ_1p20V_25C,0.00000239348
design_powergrid__drop__average__net:VGND__corner:nom_typ_1p20V_25C,4.36535E-7
design_powergrid__drop__worst__net:VGND__corner:nom_typ_1p20V_25C,0.00000239348
design_powergrid__voltage__worst,0.00000239348
design_powergrid__voltage__worst__net:VPWR,1.2
design_powergrid__drop__worst,0.00000239348
design_powergrid__drop__worst__net:VPWR,0.00000210313
design_powergrid__voltage__worst__net:VGND,0.00000239348
design_powergrid__drop__worst__net:VGND,0.00000239348
ir__voltage__worst,1.1999999999999999555910790149937383830547332763671875
ir__drop__avg,4.3900000000000000025145358885370061585717849084176123142242431640625E-7
ir__drop__worst,0.00000209999999999999979909191642757360085624895873479545116424560546875
magic__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
